Mode(hex),PID(hex),Data bytes returned,Description,Min value,Max value,Units,Formula
01,00,4,PIDs supported [01 - 20],,,,Bit encoded [A7..D0] == [PID 0x01..PID 0x20]
01,01,4,Monitor status since DTCs cleared. (Includes malfunction indicator lamp (MIL) status and number of DTCs.),,,,Bit encoded. See below.
01,02,8,Freeze DTC,,,,
01,03,2,Fuel system status,,,,Bit encoded. See below.
01,04,1,Calculated engine load value,0,100,%,A*100/255
01,05,1,Engine coolant temperature,-40,215,°C,A-40
01,06,1,Short term fuel % trim—Bank 1,-100 (Rich),99.22 (Lean),%,(A-128) * 100/128
01,07,1,Long term fuel % trim—Bank 1,-100 (Rich),99.22 (Lean),%,(A-128) * 100/128
01,08,1,Short term fuel % trim—Bank 2,-100 (Rich),99.22 (Lean),%,(A-128) * 100/128
01,09,1,Long term fuel % trim—Bank 2,-100 (Rich),99.22 (Lean),%,(A-128) * 100/128
01,0A,1,Fuel pressure,0,765,kPa (gauge),A*3
01,0B,1,Intake manifold absolute pressure,0,255,kPa (absolute),A
01,0C,2,Engine RPM,0,"16,383.75",rpm,((A*256)+B)/4
01,0D,1,Vehicle speed,0,255,km/h,A
01,0E,1,Timing advance,-64,63.5,° relative to #1 cylinder,A/2 – 64
01,0F,1,Intake air temperature,-40,215,°C,A-40
01,10,2,MAF air flow rate,0,655.35,g/s,((A*256)+B) / 100
01,11,1,Throttle position,0,100,%,A*100/255
01,12,1,Commanded secondary air status,,,,Bit encoded. See below.
01,13,1,Oxygen sensors present,,,,"[A0..A3] == Bank 1, Sensors 1-4. [A4..A7] == Bank 2…"
01,14,2,"Bank 1, Sensor 1:Oxygen sensor voltage, Short term fuel trim",0-100(lean),1.27599.2(rich),Volts%,"A * 0.005(B-128) * 100/128 (if B==0xFF, sensor is not used in trim calc)"
01,15,2,"Bank 1, Sensor 2:Oxygen sensor voltage, Short term fuel trim",0-100(lean),1.27599.2(rich),Volts%,"A * 0.005(B-128) * 100/128 (if B==0xFF, sensor is not used in trim calc)"
01,16,2,"Bank 1, Sensor 3:Oxygen sensor voltage, Short term fuel trim",0-100(lean),1.27599.2(rich),Volts%,"A * 0.005(B-128) * 100/128 (if B==0xFF, sensor is not used in trim calc)"
01,17,2,"Bank 1, Sensor 4:Oxygen sensor voltage, Short term fuel trim",0-100(lean),1.27599.2(rich),Volts%,"A * 0.005(B-128) * 100/128 (if B==0xFF, sensor is not used in trim calc)"
01,18,2,"Bank 2, Sensor 1:Oxygen sensor voltage, Short term fuel trim",0-100(lean),1.27599.2(rich),Volts%,"A * 0.005(B-128) * 100/128 (if B==0xFF, sensor is not used in trim calc)"
01,19,2,"Bank 2, Sensor 2:Oxygen sensor voltage, Short term fuel trim",0-100(lean),1.27599.2(rich),Volts%,"A * 0.005(B-128) * 100/128 (if B==0xFF, sensor is not used in trim calc)"
01,1A,2,"Bank 2, Sensor 3:Oxygen sensor voltage, Short term fuel trim",0-100(lean),1.27599.2(rich),Volts%,"A * 0.005(B-128) * 100/128 (if B==0xFF, sensor is not used in trim calc)"
01,1B,2,"Bank 2, Sensor 4:Oxygen sensor voltage, Short term fuel trim",0-100(lean),1.27599.2(rich),Volts%,"A * 0.005(B-128) * 100/128 (if B==0xFF, sensor is not used in trim calc)"
01,1C,1,OBD standards this vehicle conforms to,,,,Bit encoded. See below.
01,1D,1,Oxygen sensors present,,,,"Similar to PID 13, but [A0..A7] == [B1S1, B1S2, B2S1, B2S2, B3S1, B3S2, B4S1, B4S2]"
01,1E,1,Auxiliary input status,,,,A0 == Power Take Off (PTO) status (1 == active)[A1..A7] not used
01,1F,2,Run time since engine start,0,"65,535",seconds,(A*256)+B
01,20,4,PIDs supported 21-40,,,,Bit encoded [A7..D0] == [PID 0x21..PID 0x40]
01,21,2,Distance traveled with malfunction indicator lamp (MIL) on,0,"65,535",km,(A*256)+B
